selected_precision,baseline_precision,difference
0.25642722348846897,0.20518099159375536,0.05124623189471361
0.2730576013266351,0.15622916971500103,0.11682843161163406
0.2760619345516641,0.18671494015073145,0.08934699440093266
0.27348030369539417,0.16803232047342664,0.10544798322196752
0.2726309939020561,0.21014364548596268,0.06248734841609341
0.28366155856817943,0.18313034156147032,0.10053121700670911
0.27674811816156986,0.18774488286267052,0.08900323529889934
0.25568167065952974,0.17326991503650033,0.08241175562302941
0.2665552753954558,0.1659972618314782,0.10055801356397762
0.25313366039502094,0.16426524289592317,0.08886841749909777
0.24616372097945813,0.18058651706955686,0.06557720390990127
0.2553366174055829,0.1745110471638297,0.08082557024175319
0.24217594173210424,0.1597977531743322,0.08237818855777204
0.2791461412151068,0.19704433497536944,0.08210180623973734
0.2842928216062544,0.17014271826417993,0.11415010334207448
0.2712945703242697,0.19561241892536738,0.0756821513989023
0.23548105122989324,0.18108145642885734,0.0543995948010359
0.2791191103306994,0.19024973173348939,0.08886937859721003
0.26104269293924465,0.19491789819376026,0.06612479474548438
0.28504771659431954,0.21416378091011076,0.07088393568420878
0.3109987372963725,0.21717553262424896,0.09382320467212354
0.28085751200446035,0.19889198424333887,0.08196552776112148
0.29728600214411477,0.201940956193562,0.09534504595055276
0.27506964357195957,0.18273983122156054,0.09232981235039903
0.2669613976323006,0.1845564934017546,0.082404904230546
0.24179388382187972,0.1627566697556455,0.07903721406623421
0.22831920978246767,0.16435152643053352,0.06396768335193415
0.25130038358805457,0.1758063302708132,0.07549405331724138
0.2679738562091503,0.18300653594771243,0.08496732026143788
0.2863076948088898,0.21051390853371052,0.07579378627517927
0.27184639646230635,0.17134890828984375,0.1004974881724626
0.24054266620691922,0.16407459402656685,0.07646807218035237
0.2501456027955737,0.15141072930822494,0.09873487348734875
0.2627293566795103,0.16854411549529336,0.09418524118421695
0.2437692045066576,0.14995366531727064,0.09381553918938695
0.27808294324763705,0.2001198032824384,0.07796313996519866
0.3131539972310764,0.22128046620947228,0.09187353102160412
0.2939244663382594,0.17733990147783252,0.1165845648604269
0.2887258581015811,0.22438454785850617,0.0643413102430749
0.24331844949200807,0.1544198537500809,0.08889859574192716
0.27797558080931245,0.21378172299988618,0.06419385780942627
0.2857193861953567,0.19043092370668535,0.09528846248867134
0.24876034401469704,0.1747061405647954,0.07405420344990166
0.2570274268806191,0.1829081922970622,0.07411923458355688
0.2565559511616186,0.1924352533775545,0.06412069778406412
0.2807764621724415,0.1954054866512441,0.0853709755211974
0.2845725749045493,0.1891056752734097,0.09546689963113958
0.2706969469096016,0.18638181735973758,0.08431512954986403
0.26686338584597374,0.1499048919670292,0.11695849387894455
0.2723310159116787,0.18977205050848442,0.08255896540319427
0.2331889737800207,0.15105337685318806,0.08213559692683264
0.25612942343205636,0.17739162354369312,0.07873779988836324
0.2512436407361397,0.1625397399200946,0.0887039008160451
0.26858671088783753,0.17964037783088652,0.08894633305695102
0.2759634172372461,0.1768714184851321,0.099091998752114
0.28125382937529103,0.18924766681419522,0.09200616256109581
0.23927392739273926,0.19801980198019806,0.0412541254125412
0.29587212452588546,0.1967554964451669,0.09911662808071856
0.28291794696711053,0.16606512868035572,0.11685281828675481
0.2787646411699993,0.20968420371448912,0.06908043745551021
0.28687337003767027,0.1917882095366882,0.09508516050098206
0.26479864735242,0.18749288721975646,0.07730576013266352
0.2545155993431856,0.15599343185550082,0.09852216748768475
0.2480177697572713,0.17672080508543467,0.07129696467183663
0.259848152302915,0.17597424767107253,0.0838739046318425
0.2868089764641489,0.17700183521684534,0.10980714124730354
0.2607552314675626,0.15679297508458293,0.10396225638297965
0.2681152351688371,0.18251800549513078,0.08559722967370634
0.2824510935590806,0.2020869574642193,0.08036413609486129
0.24759390871812717,0.16832771064769148,0.0792661980704357
0.2661445249002512,0.1834146101177282,0.082729914782523
0.2599294412199841,0.18909427888601668,0.07083516233396744
0.2622347789690589,0.1917157667664767,0.07051901220258219
0.2937814663819323,0.17813078366660196,0.11565068271533036
0.23557528166609765,0.1646588304150612,0.07091645125103643
0.3064267017834788,0.20419775967744558,0.10222894210603323
0.3021346469622332,0.19047619047619047,0.11165845648604272
0.2751023209077764,0.18285420189691934,0.09224811901085708
0.2706270627062706,0.15511551155115513,0.1155115511551155
0.2664406834772147,0.18250987660342388,0.08393080687379084
0.24996341998731894,0.16108211806402314,0.0888813019232958
0.2613850481005578,0.1923610240115947,0.0690240240889631
0.24434267557334366,0.168483291973047,0.07585938360029665
0.2603239957846237,0.1730836784876929,0.08724031729693077
0.2533446214306618,0.1480811916463274,0.10526342978433437
0.27256409631110895,0.18165553008502822,0.09090856622608073
0.25323936334520153,0.19239460891901997,0.06084475442618156
0.2610755745084103,0.18010930568830727,0.08096626882010302
0.24669560552114325,0.15289632411517015,0.0937992814059731
0.2512315270935961,0.15763546798029557,0.09359605911330052
0.2310351136576785,0.1584922369893044,0.07254287666837411
0.26194540636329644,0.1811686094717846,0.08077679689151185
0.2881699346405229,0.18751633986928107,0.1006535947712418
0.2507807720789465,0.15743423806304133,0.09334653401590517
0.27637418914305223,0.18420068607846005,0.09217350306459218
0.2649000194137061,0.19415323885329708,0.07074678056040903
0.25376007750028734,0.17781699153234024,0.0759430859679471
0.2685379375375961,0.20424653302768703,0.06429140450990906
0.231795347022387,0.17426718041262257,0.057528166609764425
0.275427412344248,0.19014617341189352,0.08528123893235448
0.2717569786535304,0.158196361508072,0.11356061714545837
0.25091114361050104,0.17482245246802453,0.07608869114247652
0.29824903672633274,0.18451771285502935,0.11373132387130339
0.2668476680855092,0.1646243641045404,0.1022233039809688
0.25412541254125415,0.18151815181518152,0.07260726072607263
0.2571982834806747,0.19120520480494055,0.06599307867573415
0.2631484823359183,0.1825261343868377,0.0806223479490806
0.2823382454153847,0.18865165276307408,0.09368659265231064
0.24550065844022825,0.16140727373229932,0.08409338470792893
0.2721801591923898,0.19507538989193038,0.07710476930045942
0.2755168135003339,0.1731310768015262,0.10238573669880771
0.2652294786128859,0.1795753466972313,0.08565413191565463
0.24620428574297593,0.15752461221201808,0.08867967353095785
0.2762929002259832,0.1611959225479198,0.11509697767806337
0.268701145795001,0.18797079444555517,0.08073035134944581
0.2697858021096227,0.16783148903125608,0.10195431307836664
0.25237345438830333,0.17978156171620396,0.07259189267209937
0.2474806014359767,0.18356997971602432,0.06391062171995238
