model,period,target,capacity,rows,selected,true_positives_selected,precision,recall,prevalence,lift
core_logistic,2025-10,responded_strict,0.42,2021,849,132,0.15547703180212014,0.8301886792452831,0.07867392380009897,1.9762206369313509
core_logistic,2025-10,responded_strict,0.43,2021,870,132,0.15172413793103448,0.8301886792452831,0.07867392380009897,1.9285187594881803
core_logistic,2025-10,responded_strict,0.44,2021,890,132,0.14831460674157304,0.8301886792452831,0.07867392380009897,1.8851812592749628
core_logistic,2025-10,responded_strict,0.45,2021,910,136,0.14945054945054945,0.8553459119496856,0.07867392380009897,1.8996198769783674
core_logistic,2025-10,responded_strict,0.46,2021,930,137,0.14731182795698924,0.8616352201257862,0.07867392380009897,1.872435247176574
core_logistic,2025-10,responded_strict,0.47,2021,950,138,0.14526315789473684,0.8679245283018868,0.07867392380009897,1.8463952333664349
core_logistic,2025-10,responded_strict,0.48,2021,971,139,0.1431513903192585,0.8742138364779874,0.07867392380009897,1.8195532065108264
core_logistic,2025-10,responded_strict,0.49,2021,991,141,0.14228052472250252,0.8867924528301887,0.07867392380009897,1.808483902290425
core_logistic,2025-10,responded_strict,0.5,2021,1011,142,0.1404549950544016,0.8930817610062893,0.07867392380009897,1.7852801572638088
core_logistic,2025-10,responded_strict,0.51,2021,1031,143,0.13870029097963144,0.89937106918239,0.07867392380009897,1.762976654527265
core_logistic,2025-10,responded_strict,0.52,2021,1051,143,0.13606089438629876,0.89937106918239,0.07867392380009897,1.7294280978283634
core_logistic,2025-10,responded_strict,0.53,2021,1072,143,0.1333955223880597,0.89937106918239,0.07867392380009897,1.695549375762696
core_logistic,2025-10,responded_strict,0.54,2021,1092,144,0.13186813186813187,0.9056603773584906,0.07867392380009897,1.6761351855691478
core_logistic,2025-10,responded_strict,0.55,2021,1112,145,0.1303956834532374,0.9119496855345912,0.07867392380009897,1.657419347540835
core_logistic,2025-10,responded_strict,0.56,2021,1132,145,0.12809187279151943,0.9119496855345912,0.07867392380009897,1.6281363201991241
core_logistic,2025-10,responded_strict,0.57,2021,1152,145,0.12586805555555555,0.9119496855345912,0.07867392380009897,1.5998700646401116
