model,target,capacity,months,rows,selected,true_positives_selected,precision,precision_min,precision_max,recall,prevalence,lift
core_logistic,responded_strict,0.13,3,6075,791,184,0.23257732153742525,0.22137404580152673,0.24150943396226415,0.4078322777041292,0.07423121407972523,3.1322101243762597
core_logistic,responded_strict,0.14,3,6075,852,195,0.22884774300716762,0.22340425531914893,0.23426573426573427,0.432366082388177,0.07423121407972523,3.0828998494213433
core_logistic,responded_strict,0.15,3,6075,912,201,0.2203505506613784,0.20860927152317882,0.22875816993464052,0.44548436195806945,0.07423121407972523,2.967448344406732
core_logistic,responded_strict,0.16,3,6075,973,207,0.21270178948679144,0.19875776397515527,0.2222222222222222,0.45880689350419795,0.07423121407972523,2.864631308217442
core_logistic,responded_strict,0.17,3,6075,1035,212,0.20479622258029648,0.1924198250728863,0.21159420289855072,0.46989640104089947,0.07423121407972523,2.758104093649626
core_logistic,responded_strict,0.18,3,6075,1095,224,0.2045302345308114,0.1928374655647383,0.2125340599455041,0.4964481759709334,0.07423121407972523,2.754299255850407
core_logistic,responded_strict,0.19,3,6075,1156,230,0.1989308695844186,0.18798955613577023,0.2051948051948052,0.5098315903176708,0.07423121407972523,2.679300172951303
core_logistic,responded_strict,0.2,3,6075,1216,237,0.19487787670899626,0.18610421836228289,0.2,0.5254264250994255,0.07423121407972523,2.6250035491269146
core_logistic,responded_strict,0.21,3,6075,1277,246,0.1926120882812914,0.18203309692671396,0.20187793427230047,0.545404821525016,0.07423121407972523,2.59457394812174
core_logistic,responded_strict,0.22,3,6075,1338,257,0.19203320210721397,0.18058690744920994,0.20044543429844097,0.5695301222565915,0.07423121407972523,2.585859415310359
core_logistic,responded_strict,0.23,3,6075,1398,265,0.18951104060471338,0.1771058315334773,0.19829424307036247,0.5872146118721461,0.07423121407972523,2.5517365097527365
core_logistic,responded_strict,0.24,3,6075,1459,272,0.18638287306334234,0.17391304347826086,0.19387755102040816,0.6027485638532921,0.07423121407972523,2.509725034960733
core_logistic,responded_strict,0.25,3,6075,1520,279,0.18352077272221567,0.1749502982107356,0.18823529411764706,0.6184759660234693,0.07423121407972523,2.4718450717533744
core_logistic,responded_strict,0.26,3,6075,1581,285,0.18022987946578276,0.16793893129770993,0.18679245283018867,0.6315942455933617,0.07423121407972523,2.426930804828532
core_logistic,responded_strict,0.27,3,6075,1642,291,0.1771699073113587,0.1636029411764706,0.18874773139745918,0.6446300387882359,0.07423121407972523,2.3849861333321076
core_logistic,responded_strict,0.28,3,6075,1702,293,0.17210162130835496,0.15780141843971632,0.18213660245183888,0.6490744832326804,0.07423121407972523,2.316796060125233
core_logistic,responded_strict,0.29,3,6075,1764,299,0.16945233603746324,0.15753424657534246,0.17905405405405406,0.662447095792213,0.07423121407972523,2.281366987660242
core_logistic,responded_strict,0.3,3,6075,1824,303,0.16607266865926884,0.15397350993377484,0.17483660130718953,0.671325182893897,0.07423121407972523,2.2359024706919666
core_logistic,responded_strict,0.31,3,6075,1884,309,0.16396639632953428,0.15064102564102563,0.17246835443037975,0.684576029852212,0.07423121407972523,2.207433418083802
core_logistic,responded_strict,0.32,3,6075,1945,314,0.16140642292054208,0.15217391304347827,0.1669218989280245,0.6959306721657583,0.07423121407972523,2.1736673349630524
core_logistic,responded_strict,0.33,3,6075,2006,320,0.15949889550807125,0.1536144578313253,0.16344725111441308,0.7094358521137134,0.07423121407972523,2.1484578040798437
core_logistic,responded_strict,0.34,3,6075,2067,326,0.1577031669305461,0.15328467153284672,0.16017316017316016,0.7228801492610595,0.07423121407972523,2.1245683354167455
core_logistic,responded_strict,0.35,3,6075,2128,332,0.15599252294822039,0.150354609929078,0.16106442577030813,0.7359876270437473,0.07423121407972523,2.101095906321007
core_logistic,responded_strict,0.36,3,6075,2188,335,0.15308960497530508,0.14758620689655172,0.1566757493188011,0.7427151765110227,0.07423121407972523,2.0621617426931746
core_logistic,responded_strict,0.37,3,6075,2250,341,0.15153925853494724,0.14630872483221477,0.15466666666666667,0.7560985908577601,0.07423121407972523,2.0414680075435965
core_logistic,responded_strict,0.38,3,6075,2310,345,0.14933794436640738,0.1450980392156863,0.15194805194805194,0.765037560760053,0.07423121407972523,2.0119504168156266
core_logistic,responded_strict,0.39,3,6075,2370,350,0.1476645350730896,0.14267515923566879,0.15063291139240506,0.7760661854961457,0.07423121407972523,1.989282872303922
core_logistic,responded_strict,0.4,3,6075,2431,352,0.14478216138844158,0.1391304347826087,0.14938271604938272,0.7805106299405901,0.07423121407972523,1.9504905100108658
core_logistic,responded_strict,0.41,3,6075,2492,365,0.14644263267291957,0.13818181818181818,0.15162454873646208,0.809091176903815,0.07423121407972523,1.9723858022654268
core_logistic,responded_strict,0.42,3,6075,2553,368,0.14411977185931726,0.1347517730496454,0.15041128084606345,0.8156861589826679,0.07423121407972523,1.9409786355747098
core_logistic,responded_strict,0.43,3,6075,2614,371,0.14190398053376227,0.13279445727482678,0.14810562571756603,0.82234202386213,0.07423121407972523,1.9111616959188638
core_logistic,responded_strict,0.44,3,6075,2674,376,0.14059012144638255,0.13205417607223477,0.14590347923681257,0.8334315313988315,0.07423121407972523,1.8934724071382805
core_logistic,responded_strict,0.45,3,6075,2736,378,0.1381353507670835,0.13024282560706402,0.14364035087719298,0.8379368586438848,0.07423121407972523,1.8605490299329885
core_logistic,responded_strict,0.46,3,6075,2796,381,0.13623985183905896,0.12742980561555076,0.14163090128755365,0.8444601561349242,0.07423121407972523,1.834797742886136
core_logistic,responded_strict,0.47,3,6075,2856,384,0.13443077646388238,0.12579281183932348,0.1407563025210084,0.8511877056021997,0.07423121407972523,1.810563715540284
core_logistic,responded_strict,0.48,3,6075,2917,384,0.13161949943871093,0.12318840579710146,0.13786008230452676,0.8511877056021997,0.07423121407972523,1.7727114684877587
core_logistic,responded_strict,0.49,3,6075,2978,385,0.12925546653018263,0.1206896551724138,0.13494461228600202,0.8533382432366082,0.07423121407972523,1.7407597774363774
core_logistic,responded_strict,0.5,3,6075,3038,388,0.12768870721535167,0.11928429423459244,0.13228035538005922,0.8599224235282564,0.07423121407972523,1.719550890711224
core_logistic,responded_strict,0.51,3,6075,3100,389,0.12545955082410287,0.11684518013631938,0.13068731848983542,0.8621446457504787,0.07423121407972523,1.68954017524179
core_logistic,responded_strict,0.52,3,6075,3160,391,0.12370882230108653,0.11461318051575932,0.1291547958214625,0.8665174056071095,0.07423121407972523,1.6658707692447194
core_logistic,responded_strict,0.53,3,6075,3222,392,0.12163457105312742,0.11246485473289597,0.1266294227188082,0.8686679432415181,0.07423121407972523,1.637848834300466
core_logistic,responded_strict,0.54,3,6075,3282,394,0.12002077467762205,0.11131554737810488,0.12443233424159855,0.8731015858987577,0.07423121407972523,1.6161164018808105
core_logistic,responded_strict,0.55,3,6075,3342,396,0.11846677684265432,0.1102077687443541,0.1229802513464991,0.877606913143811,0.07423121407972523,1.595293931273643
core_logistic,responded_strict,0.56,3,6075,3403,396,0.11634275255300203,0.10825199645075421,0.12081128747795414,0.877606913143811,0.07423121407972523,1.5666999263159116
core_logistic,responded_strict,0.57,3,6075,3464,398,0.11487232004138338,0.10723626852659111,0.11948051948051948,0.8821122403888643,0.07423121407972523,1.5469960114844559
core_logistic,responded_strict,0.58,3,6075,3525,400,0.11345158077145338,0.1062553556126821,0.1174468085106383,0.886545883046104,0.07423121407972523,1.5278704340992941
core_logistic,responded_strict,0.59,3,6075,3586,405,0.11291996330967939,0.10606060606060606,0.11715481171548117,0.8977070751706191,0.07423121407972523,1.520805243178155
core_logistic,responded_strict,0.6,3,6075,3646,408,0.11188481379577413,0.10513245033112582,0.11604938271604938,0.9043629400500809,0.07423121407972523,1.5068694696321356
core_logistic,responded_strict,0.61,3,6075,3708,412,0.11109321425779484,0.10504885993485343,0.11488673139158576,0.9133019099523739,0.07423121407972523,1.4963073229195094
core_logistic,responded_strict,0.62,3,6075,3768,415,0.11012064733442627,0.10416666666666667,0.11385350318471338,0.9199577748318358,0.07423121407972523,1.483212561163142
core_logistic,responded_strict,0.63,3,6075,3828,415,0.10839484171158718,0.10252365930599369,0.11206896551724138,0.9199577748318358,0.07423121407972523,1.4599654802681705
core_logistic,responded_strict,0.64,3,6075,3889,417,0.1072053369258933,0.10093167701863354,0.1103448275862069,0.924258850100653,0.07423121407972523,1.4437871024743716
core_logistic,responded_strict,0.65,3,6075,3950,420,0.10630723024875392,0.10015290519877676,0.11018867924528301,0.9308430303923013,0.07423121407972523,1.431608064858156
