model,period,target,capacity,rows,selected,true_positives_selected,precision,recall,prevalence,lift
extended_logistic,2025-09,responded_strict,0.16,2038,327,75,0.22935779816513763,0.4838709677419355,0.0760549558390579,3.0156851139390355
extended_logistic,2025-09,responded_strict,0.17,2038,347,79,0.2276657060518732,0.5096774193548387,0.0760549558390579,2.993436831830436
extended_logistic,2025-09,responded_strict,0.18,2038,367,82,0.22343324250681199,0.5290322580645161,0.0760549558390579,2.937786762766986
extended_logistic,2025-09,responded_strict,0.19,2038,388,84,0.21649484536082475,0.5419354838709678,0.0760549558390579,2.8465580312603924
extended_logistic,2025-09,responded_strict,0.2,2038,408,87,0.21323529411764705,0.5612903225806452,0.0760549558390579,2.8037001897533207
extended_logistic,2025-09,responded_strict,0.21,2038,428,89,0.20794392523364486,0.5741935483870968,0.0760549558390579,2.7341272233946334
extended_logistic,2025-09,responded_strict,0.22,2038,449,92,0.20489977728285078,0.5935483870967742,0.0760549558390579,2.694101587757741
extended_logistic,2025-09,responded_strict,0.23,2038,469,93,0.19829424307036247,0.6,0.0760549558390579,2.6072494669509596
extended_logistic,2025-09,responded_strict,0.24,2038,490,95,0.19387755102040816,0.6129032258064516,0.0760549558390579,2.549177090190915
extended_logistic,2025-09,responded_strict,0.25,2038,510,95,0.18627450980392157,0.6129032258064516,0.0760549558390579,2.4492093611638204
extended_logistic,2025-09,responded_strict,0.26,2038,530,96,0.1811320754716981,0.6193548387096774,0.0760549558390579,2.3815946439440046
extended_logistic,2025-09,responded_strict,0.27,2038,551,99,0.17967332123411978,0.6387096774193548,0.0760549558390579,2.362414378549265
extended_logistic,2025-09,responded_strict,0.28,2038,571,100,0.17513134851138354,0.6451612903225806,0.0760549558390579,2.30269476300774
extended_logistic,2025-09,responded_strict,0.29,2038,592,102,0.17229729729729729,0.6580645161290323,0.0760549558390579,2.265431560592851
extended_logistic,2025-09,responded_strict,0.3,2038,612,103,0.16830065359477125,0.6645161290322581,0.0760549558390579,2.212882142104154
extended_logistic,2025-09,responded_strict,0.31,2038,632,106,0.16772151898734178,0.6838709677419355,0.0760549558390579,2.2052674561045325
extended_logistic,2025-09,responded_strict,0.32,2038,653,109,0.1669218989280245,0.7032258064516129,0.0760549558390579,2.1947537420342833
extended_logistic,2025-09,responded_strict,0.33,2038,673,111,0.1649331352154532,0.7161290322580646,0.0760549558390579,2.168604706897378
extended_logistic,2025-09,responded_strict,0.34,2038,693,114,0.1645021645021645,0.7354838709677419,0.0760549558390579,2.1629381371316856
extended_logistic,2025-09,responded_strict,0.35,2038,714,116,0.16246498599439776,0.7483870967741936,0.0760549558390579,2.13615252552634
extended_logistic,2025-09,responded_strict,0.36,2038,734,116,0.15803814713896458,0.7483870967741936,0.0760549558390579,2.0779467346400633
extended_logistic,2025-09,responded_strict,0.37,2038,755,117,0.15496688741721854,0.7548387096774194,0.0760549558390579,2.0375646229438154
extended_logistic,2025-09,responded_strict,0.38,2038,775,118,0.15225806451612903,0.7612903225806451,0.0760549558390579,2.0019479708636836
extended_logistic,2025-09,responded_strict,0.39,2038,795,121,0.15220125786163521,0.7806451612903226,0.0760549558390579,2.001201054980726
extended_logistic,2025-09,responded_strict,0.4,2038,816,123,0.15073529411764705,0.7935483870967742,0.0760549558390579,1.9819259962049334
extended_logistic,2025-09,responded_strict,0.41,2038,836,125,0.14952153110047847,0.8064516129032258,0.0760549558390579,1.9659669702114524
extended_logistic,2025-09,responded_strict,0.42,2038,856,125,0.14602803738317757,0.8064516129032258,0.0760549558390579,1.9200331624962315
extended_logistic,2025-09,responded_strict,0.43,2038,877,126,0.14367160775370583,0.8129032258064516,0.0760549558390579,1.8890499135616288
extended_logistic,2025-09,responded_strict,0.44,2038,897,127,0.1415830546265329,0.8193548387096774,0.0760549558390579,1.861588808573381
extended_logistic,2025-09,responded_strict,0.45,2038,918,128,0.1394335511982571,0.8258064516129032,0.0760549558390579,1.8333263054325675
extended_logistic,2025-09,responded_strict,0.46,2038,938,128,0.13646055437100213,0.8258064516129032,0.0760549558390579,1.7942361923103376
extended_logistic,2025-09,responded_strict,0.47,2038,958,130,0.13569937369519833,0.8387096774193549,0.0760549558390579,1.784227894134285
extended_logistic,2025-09,responded_strict,0.48,2038,979,130,0.13278855975485188,0.8387096774193549,0.0760549558390579,1.7459553856799235
extended_logistic,2025-09,responded_strict,0.49,2038,999,132,0.13213213213213212,0.8516129032258064,0.0760549558390579,1.7373244211953889
extended_logistic,2025-09,responded_strict,0.5,2038,1019,132,0.1295387634936212,0.8516129032258064,0.0760549558390579,1.703225806451613
extended_logistic,2025-09,responded_strict,0.51,2038,1040,133,0.12788461538461537,0.8580645161290322,0.0760549558390579,1.6814764267990072
extended_logistic,2025-09,responded_strict,0.52,2038,1060,135,0.12735849056603774,0.8709677419354839,0.0760549558390579,1.6745587340231285
extended_logistic,2025-09,responded_strict,0.53,2038,1081,136,0.12580943570767808,0.8774193548387097,0.0760549558390579,1.654191161111277
extended_logistic,2025-09,responded_strict,0.54,2038,1101,136,0.12352406902815623,0.8774193548387097,0.0760549558390579,1.624142275350854
extended_logistic,2025-09,responded_strict,0.55,2038,1121,137,0.12221231043710973,0.8838709677419355,0.0760549558390579,1.6068947656182557
extended_logistic,2025-09,responded_strict,0.56,2038,1142,138,0.12084063047285463,0.8903225806451613,0.0760549558390579,1.5888593864753402
extended_logistic,2025-09,responded_strict,0.57,2038,1162,138,0.11876075731497418,0.8903225806451613,0.0760549558390579,1.5615124090833379
extended_logistic,2025-09,responded_strict,0.58,2038,1183,139,0.11749788672865596,0.896774193548387,0.0760549558390579,1.5449076977612959
extended_logistic,2025-09,responded_strict,0.59,2038,1203,140,0.11637572734829593,0.9032258064516129,0.0760549558390579,1.530153111844046
extended_logistic,2025-09,responded_strict,0.6,2038,1223,142,0.116107931316435,0.9161290322580645,0.0760549558390579,1.5266320259541584
extended_logistic,2025-09,responded_strict,0.61,2038,1244,143,0.11495176848874598,0.9225806451612903,0.0760549558390579,1.511430349548802
extended_logistic,2025-09,responded_strict,0.62,2038,1264,143,0.11313291139240507,0.9225806451612903,0.0760549558390579,1.487515312372397
extended_logistic,2025-09,responded_strict,0.63,2038,1284,144,0.11214953271028037,0.9290322580645162,0.0760549558390579,1.4745854687971058
extended_logistic,2025-09,responded_strict,0.64,2038,1305,145,0.1111111111111111,0.9354838709677419,0.0760549558390579,1.460931899641577
extended_logistic,2025-09,responded_strict,0.65,2038,1325,145,0.10943396226415095,0.9354838709677419,0.0760549558390579,1.4388800973828364
extended_logistic,2025-09,responded_strict,0.66,2038,1346,145,0.10772659732540862,0.9354838709677419,0.0760549558390579,1.4164310022527922
extended_logistic,2025-09,responded_strict,0.67,2038,1366,145,0.1061493411420205,0.9354838709677419,0.0760549558390579,1.3956926274028243
extended_logistic,2025-09,responded_strict,0.68,2038,1386,145,0.10461760461760462,0.9354838709677419,0.0760549558390579,1.375552762649537
extended_logistic,2025-09,responded_strict,0.69,2038,1407,145,0.10305614783226724,0.9354838709677419,0.0760549558390579,1.3550221244010363
extended_logistic,2025-09,responded_strict,0.7,2038,1427,147,0.10301331464611072,0.9483870967741935,0.0760549558390579,1.3544589370888622
extended_logistic,2025-09,responded_strict,0.71,2038,1447,147,0.10158949550794748,0.9483870967741935,0.0760549558390579,1.3357380119044966
extended_logistic,2025-09,responded_strict,0.72,2038,1468,147,0.10013623978201634,0.9483870967741935,0.0760549558390579,1.3166300430693503
extended_logistic,2025-09,responded_strict,0.73,2038,1488,148,0.09946236559139784,0.9548387096774194,0.0760549558390579,1.307769684356573
extended_logistic,2025-09,responded_strict,0.74,2038,1509,150,0.09940357852882704,0.967741935483871,0.0760549558390579,1.3069967293016098
extended_logistic,2025-09,responded_strict,0.75,2038,1529,151,0.0987573577501635,0.9741935483870968,0.0760549558390579,1.2984999683537628
extended_logistic,2025-09,responded_strict,0.76,2038,1549,151,0.0974822466107166,0.9741935483870968,0.0760549558390579,1.281734313500906
extended_logistic,2025-09,responded_strict,0.77,2038,1570,151,0.09617834394904459,0.9741935483870968,0.0760549558390579,1.2645900965687282
extended_logistic,2025-09,responded_strict,0.78,2038,1590,151,0.0949685534591195,0.9741935483870968,0.0760549558390579,1.248683302901197
extended_logistic,2025-09,responded_strict,0.79,2038,1611,151,0.09373060211049038,0.9741935483870968,0.0760549558390579,1.2324062393624478
extended_logistic,2025-09,responded_strict,0.8,2038,1631,151,0.09258123850398528,0.9741935483870968,0.0760549558390579,1.2172939617491743
extended_logistic,2025-09,responded_strict,0.81,2038,1651,151,0.09145972138098123,0.9741935483870968,0.0760549558390579,1.2025478204802564
extended_logistic,2025-09,responded_strict,0.82,2038,1672,151,0.090311004784689,0.9741935483870968,0.0760549558390579,1.1874440500077172
extended_logistic,2025-09,responded_strict,0.83,2038,1692,151,0.08924349881796691,0.9741935483870968,0.0760549558390579,1.173408068329139
extended_logistic,2025-09,responded_strict,0.84,2038,1712,152,0.08878504672897196,0.9806451612903225,0.0760549558390579,1.1673801627977087
extended_logistic,2025-09,responded_strict,0.85,2038,1733,152,0.08770917484131564,0.9806451612903225,0.0760549558390579,1.1532341827522663
extended_logistic,2025-09,responded_strict,0.86,2038,1753,152,0.08670849971477468,0.9806451612903225,0.0760549558390579,1.1400769188303923
extended_logistic,2025-09,responded_strict,0.87,2038,1774,153,0.08624577226606539,0.9870967741935484,0.0760549558390579,1.1339927992144598
extended_logistic,2025-09,responded_strict,0.88,2038,1794,153,0.08528428093645485,0.9870967741935484,0.0760549558390579,1.1213507390225483
extended_logistic,2025-09,responded_strict,0.89,2038,1814,153,0.08434399117971333,0.9870967741935484,0.0760549558390579,1.1089874453177793
extended_logistic,2025-09,responded_strict,0.9,2038,1835,153,0.08337874659400545,0.9870967741935484,0.0760549558390579,1.0962960358618263
extended_logistic,2025-09,responded_strict,0.91,2038,1855,154,0.0830188679245283,0.9935483870967742,0.0760549558390579,1.091564211807669
extended_logistic,2025-09,responded_strict,0.92,2038,1875,154,0.08213333333333334,0.9935483870967742,0.0760549558390579,1.0799208602150538
extended_logistic,2025-09,responded_strict,0.93,2038,1896,154,0.08122362869198312,0.9935483870967742,0.0760549558390579,1.0679597114468489
extended_logistic,2025-09,responded_strict,0.94,2038,1916,155,0.08089770354906055,1.0,0.0760549558390579,1.0636743215031317
extended_logistic,2025-09,responded_strict,0.95,2038,1937,155,0.08002065049044915,1.0,0.0760549558390579,1.052142488384099
extended_logistic,2025-09,responded_strict,0.96,2038,1957,155,0.07920286152273888,1.0,0.0760549558390579,1.041389882473173
extended_logistic,2025-09,responded_strict,0.97,2038,1977,155,0.07840161861406171,1.0,0.0760549558390579,1.0308548305513405
extended_logistic,2025-09,responded_strict,0.98,2038,1998,155,0.07757757757757758,1.0,0.0760549558390579,1.02002002002002
extended_logistic,2025-09,responded_strict,0.99,2038,2018,155,0.07680872150644202,1.0,0.0760549558390579,1.0099108027750248
extended_logistic,2025-09,responded_strict,1.0,2038,2038,155,0.0760549558390579,1.0,0.0760549558390579,1.0
extended_boosting,2025-07,responded_strict,0.01,2025,21,12,0.5714285714285714,0.08,0.07407407407407407,7.714285714285714
extended_boosting,2025-07,responded_strict,0.02,2025,41,18,0.43902439024390244,0.12,0.07407407407407407,5.926829268292683
extended_boosting,2025-07,responded_strict,0.03,2025,61,21,0.3442622950819672,0.14,0.07407407407407407,4.647540983606557
extended_boosting,2025-07,responded_strict,0.04,2025,81,26,0.32098765432098764,0.17333333333333334,0.07407407407407407,4.333333333333333
extended_boosting,2025-07,responded_strict,0.05,2025,102,33,0.3235294117647059,0.22,0.07407407407407407,4.36764705882353
extended_boosting,2025-07,responded_strict,0.06,2025,122,38,0.3114754098360656,0.25333333333333335,0.07407407407407407,4.204918032786885
extended_boosting,2025-07,responded_strict,0.07,2025,142,44,0.30985915492957744,0.29333333333333333,0.07407407407407407,4.183098591549296
extended_boosting,2025-07,responded_strict,0.08,2025,162,49,0.30246913580246915,0.32666666666666666,0.07407407407407407,4.083333333333334
extended_boosting,2025-07,responded_strict,0.09,2025,183,52,0.28415300546448086,0.3466666666666667,0.07407407407407407,3.8360655737704916
extended_boosting,2025-07,responded_strict,0.1,2025,203,55,0.270935960591133,0.36666666666666664,0.07407407407407407,3.657635467980296
extended_boosting,2025-07,responded_strict,0.11,2025,223,58,0.2600896860986547,0.38666666666666666,0.07407407407407407,3.5112107623318383
extended_boosting,2025-07,responded_strict,0.12,2025,243,64,0.26337448559670784,0.4266666666666667,0.07407407407407407,3.5555555555555562
extended_boosting,2025-07,responded_strict,0.13,2025,264,67,0.2537878787878788,0.44666666666666666,0.07407407407407407,3.4261363636363638
extended_boosting,2025-07,responded_strict,0.14,2025,284,68,0.23943661971830985,0.4533333333333333,0.07407407407407407,3.232394366197183
extended_boosting,2025-07,responded_strict,0.15,2025,304,72,0.23684210526315788,0.48,0.07407407407407407,3.1973684210526314
extended_boosting,2025-07,responded_strict,0.16,2025,324,74,0.22839506172839505,0.49333333333333335,0.07407407407407407,3.0833333333333335
extended_boosting,2025-07,responded_strict,0.17,2025,345,77,0.22318840579710145,0.5133333333333333,0.07407407407407407,3.0130434782608697
extended_boosting,2025-07,responded_strict,0.18,2025,365,79,0.21643835616438356,0.5266666666666666,0.07407407407407407,2.9219178082191783
extended_boosting,2025-07,responded_strict,0.19,2025,385,81,0.21038961038961038,0.54,0.07407407407407407,2.8402597402597403
extended_boosting,2025-07,responded_strict,0.2,2025,405,86,0.2123456790123457,0.5733333333333334,0.07407407407407407,2.866666666666667
extended_boosting,2025-07,responded_strict,0.21,2025,426,89,0.20892018779342722,0.5933333333333334,0.07407407407407407,2.8204225352112675
extended_boosting,2025-07,responded_strict,0.22,2025,446,90,0.20179372197309417,0.6,0.07407407407407407,2.7242152466367715
extended_boosting,2025-07,responded_strict,0.23,2025,466,93,0.19957081545064378,0.62,0.07407407407407407,2.6942060085836914
extended_boosting,2025-07,responded_strict,0.24,2025,486,97,0.19958847736625515,0.6466666666666666,0.07407407407407407,2.6944444444444446
extended_boosting,2025-07,responded_strict,0.25,2025,507,98,0.1932938856015779,0.6533333333333333,0.07407407407407407,2.6094674556213016
extended_boosting,2025-07,responded_strict,0.26,2025,527,100,0.18975332068311196,0.6666666666666666,0.07407407407407407,2.5616698292220117
extended_boosting,2025-07,responded_strict,0.27,2025,547,101,0.1846435100548446,0.6733333333333333,0.07407407407407407,2.4926873857404024
