model,target,capacity,months,rows,selected,true_positives_selected,precision,precision_min,precision_max,recall,prevalence,lift
core_logistic,responded_strict,0.33,6,12135,4007,649,0.16196033607010488,0.1536144578313253,0.17391304347826086,0.7125022416271766,0.07507063050854175,2.1577741983011944
core_logistic,responded_strict,0.34,6,12135,4129,658,0.1593563351998539,0.1511627906976744,0.17005813953488372,0.72238231287155,0.07507063050854175,2.1230482037653275
core_logistic,responded_strict,0.35,6,12135,4250,668,0.15716699604408613,0.1483050847457627,0.16807909604519775,0.7332528413077704,0.07507063050854175,2.093645914475816
core_logistic,responded_strict,0.36,6,12135,4371,675,0.154419214870318,0.14560439560439561,0.1662087912087912,0.7409334055862845,0.07507063050854175,2.0570289240030455
core_logistic,responded_strict,0.37,6,12135,4494,687,0.15286657569385434,0.14419225634178906,0.16310160427807488,0.754168890082031,0.07507063050854175,2.0364622254930795
core_logistic,responded_strict,0.38,6,12135,4614,692,0.149975134609262,0.14044213263979194,0.16015625,0.7596865930625275,0.07507063050854175,1.9980108606282674
core_logistic,responded_strict,0.39,6,12135,4735,701,0.14803956192588488,0.13814955640050697,0.15842839036755388,0.7695176949754504,0.07507063050854175,1.9721399959467412
core_logistic,responded_strict,0.4,6,12135,4856,708,0.14579290210749332,0.13597033374536466,0.15822002472187885,0.7771049247718992,0.07507063050854175,1.9419641485406356
core_logistic,responded_strict,0.41,6,12135,4978,724,0.14542832788486978,0.13253012048192772,0.15560916767189384,0.7945531209242119,0.07507063050854175,1.9368952232589827
core_logistic,responded_strict,0.42,6,12135,5100,732,0.1435191084834934,0.13058823529411764,0.15429917550058891,0.80322225382919,0.07507063050854175,1.9112128311850984
core_logistic,responded_strict,0.43,6,12135,5222,737,0.1411212259255495,0.12758620689655173,0.15172413793103448,0.8086532566189462,0.07507063050854175,1.8791727947814898
core_logistic,responded_strict,0.44,6,12135,5342,747,0.13982259387431994,0.12696629213483146,0.15168539325842698,0.8196736668063496,0.07507063050854175,1.8619946815646244
core_logistic,responded_strict,0.45,6,12135,5464,751,0.13743231368210074,0.12527472527472527,0.14945054945054945,0.8241400496237276,0.07507063050854175,1.8303208388620835
core_logistic,responded_strict,0.46,6,12135,5585,758,0.13570763468041416,0.12567132116004295,0.14731182795698924,0.8319464198951008,0.07507063050854175,1.8076375250998133
core_logistic,responded_strict,0.47,6,12135,5705,764,0.13390618182135336,0.12407991587802314,0.14526315789473684,0.838578766144265,0.07507063050854175,1.7837250337689623
core_logistic,responded_strict,0.48,6,12135,5828,768,0.13176581939314616,0.12255406797116375,0.1431513903192585,0.8429021899804664,0.07507063050854175,1.7550895302323652
core_logistic,responded_strict,0.49,6,12135,5949,775,0.13026123899597497,0.1206896551724138,0.1432896064581231,0.8505079675373984,0.07507063050854175,1.7348903819897104
core_logistic,responded_strict,0.5,6,12135,6069,781,0.12867384564717396,0.11928429423459244,0.1414441147378833,0.8569579803539229,0.07507063050854175,1.7134858560743274
core_logistic,responded_strict,0.51,6,12135,6192,783,0.1264438757087787,0.11684518013631938,0.13870029097963144,0.8591239437857091,0.07507063050854175,1.683709090351903
core_logistic,responded_strict,0.52,6,12135,6312,790,0.1251482488265681,0.11461318051575932,0.13606089438629876,0.8670271806967044,0.07507063050854175,1.6668939209315656
