model,period,target,capacity,rows,positives,selected,true_positives_selected,prevalence,precision,recall,lift,average_precision,roc_auc,mean_prediction,brier,log_loss
loose_selected,2025-12,responded_loose,0.05,2022,547,102,75,0.2705242334322453,0.7352941176470589,0.13711151736745886,2.718034197225508,0.564632041169679,0.7766554085458433,0.30136539693167147,0.15976222825054895,0.48628447719794654
loose_selected,2025-12,responded_loose,0.1,2022,547,203,140,0.2705242334322453,0.6896551724137931,0.25594149908592323,2.5493286263632355,0.564632041169679,0.7766554085458433,0.30136539693167147,0.15976222825054895,0.48628447719794654
loose_selected,2025-12,responded_loose,0.2,2022,547,405,235,0.2705242334322453,0.5802469135802469,0.4296160877513711,2.144898097366105,0.564632041169679,0.7766554085458433,0.30136539693167147,0.15976222825054895,0.48628447719794654
loose_decile,2025-10,responded_loose,0.05,2021,530,102,54,0.26224641266699655,0.5294117647058824,0.1018867924528302,2.018756936736959,0.40100632931337443,0.6882293762575452,,,
loose_decile,2025-10,responded_loose,0.1,2021,530,203,97,0.26224641266699655,0.47783251231527096,0.1830188679245283,1.822074542243703,0.40100632931337443,0.6882293762575452,,,
loose_decile,2025-10,responded_loose,0.2,2021,530,405,183,0.26224641266699655,0.45185185185185184,0.3452830188679245,1.7230048916841367,0.40100632931337443,0.6882293762575452,,,
loose_decile,2025-11,responded_loose,0.05,2017,546,101,57,0.270699058006941,0.5643564356435643,0.1043956043956044,2.084811228375585,0.44057794417395824,0.7108343729689752,,,
loose_decile,2025-11,responded_loose,0.1,2017,546,202,108,0.270699058006941,0.5346534653465347,0.1978021978021978,1.9750843216189753,0.44057794417395824,0.7108343729689752,,,
loose_decile,2025-11,responded_loose,0.2,2017,546,404,202,0.270699058006941,0.5,0.36996336996337,1.8470695970695972,0.44057794417395824,0.7108343729689752,,,
loose_decile,2025-12,responded_loose,0.05,2022,547,102,49,0.2705242334322453,0.4803921568627451,0.08957952468007313,1.775782342187332,0.41554408451108593,0.6990146562141728,,,
loose_decile,2025-12,responded_loose,0.1,2022,547,203,98,0.2705242334322453,0.4827586206896552,0.17915904936014626,1.7845300384542648,0.41554408451108593,0.6990146562141728,,,
loose_decile,2025-12,responded_loose,0.2,2022,547,405,184,0.2705242334322453,0.454320987654321,0.33638025594149906,1.679409574107929,0.41554408451108593,0.6990146562141728,,,
unfamiliar_hcp_selected,2025-10,responded_strict,0.05,400,30,20,8,0.075,0.4,0.26666666666666666,5.333333333333334,0.30799852469644073,0.8437837837837838,0.08047971876209128,0.06057405343335315,0.2136194533185648
