model,target,capacity,months,rows,positives,selected,true_positives_selected,precision,precision_min,precision_max,recall,lift,average_precision,roc_auc,prevalence,mean_prediction,brier,log_loss,stage
extended_boosting,responded_strict,0.1,3,6075,451,609,160,0.2626409844693539,0.2326732673267326,0.284313725490196,0.3542593410909805,3.534110416571893,0.2506258007708798,0.7797427320635567,0.0742312140797252,0.0798111045952056,0.0625888620451441,0.2284008620633373,development
extended_boosting,responded_strict,0.2,3,6075,451,1216,250,0.2055493235495344,0.1910669975186104,0.213235294117647,0.5540069720626504,2.767809041198088,0.2506258007708798,0.7797427320635567,0.0742312140797252,0.0798111045952056,0.0625888620451441,0.2284008620633373,development
hcp_history_frozen,responded_strict,0.05,3,6075,451,305,63,0.2065294764770594,0.196078431372549,0.2254901960784313,0.1397839642559041,2.7837027971207093,0.1530561076275423,0.6950858691038212,0.0742312140797252,0.0695788928667165,0.0675984138443808,0.7394663718194967,development
hcp_history_frozen,responded_strict,0.1,3,6075,451,609,126,0.2068835614364102,0.193069306930693,0.2266009852216748,0.2794353611233859,2.7874450106796864,0.1530561076275423,0.6950858691038212,0.0742312140797252,0.0695788928667165,0.0675984138443808,0.7394663718194967,development
hcp_history_frozen,responded_strict,0.2,3,6075,451,1216,212,0.1743518263231525,0.1666666666666666,0.1876543209876543,0.4703765895811853,2.350010386333851,0.1530561076275423,0.6950858691038212,0.0742312140797252,0.0695788928667165,0.0675984138443808,0.7394663718194967,development
three_field_rate,responded_strict,0.05,3,6075,451,305,84,0.2752863521646282,0.2376237623762376,0.2941176470588235,0.1859773162468699,3.7041372211874815,0.199148362637462,0.7612729762615746,0.0742312140797252,0.0821364335147311,0.0640413948480656,0.2387931956600154,development
three_field_rate,responded_strict,0.1,3,6075,451,609,141,0.2314821456066209,0.2079207920792079,0.2512315270935961,0.3124495507438503,3.116894388278066,0.199148362637462,0.7612729762615746,0.0742312140797252,0.0821364335147311,0.0640413948480656,0.2387931956600154,development
three_field_rate,responded_strict,0.2,3,6075,451,1216,234,0.1923822661435986,0.173697270471464,0.2024691358024691,0.518383659841901,2.589864160083286,0.199148362637462,0.7612729762615746,0.0742312140797252,0.0821364335147311,0.0640413948480656,0.2387931956600154,development
core_logistic,responded_strict,0.05,3,6060,460,305,95,0.3115576263508703,0.2941176470588235,0.3366336633663366,0.2066495455556836,4.106413827157403,0.2396409277001757,0.777306959617,0.0759100469373582,0.0808359309374016,0.0640296435176248,0.2320333357064582,later
core_logistic,responded_strict,0.1,3,6060,460,608,166,0.2730413435432213,0.2660098522167488,0.2821782178217821,0.3616658399319015,3.604800988570604,0.2396409277001757,0.777306959617,0.0759100469373582,0.0808359309374016,0.0640296435176248,0.2320333357064582,later
core_logistic,responded_strict,0.2,3,6060,460,1214,244,0.2009962107321843,0.1851851851851851,0.2103960396039604,0.5302506982707603,2.646887604084056,0.2396409277001757,0.777306959617,0.0759100469373582,0.0808359309374016,0.0640296435176248,0.2320333357064582,later
decile,responded_strict,0.05,3,6060,460,305,55,0.1800621238594447,0.099009900990099,0.2450980392156862,0.1201279945010539,2.383943363048266,0.1431504322046292,0.7057372762608588,0.0759100469373582,,,,later
decile,responded_strict,0.1,3,6060,460,608,109,0.1792258043538344,0.1485148514851485,0.2068965517241379,0.2375885399530014,2.36764282364183,0.1431504322046292,0.7057372762608588,0.0759100469373582,,,,later
decile,responded_strict,0.2,3,6060,460,1214,188,0.1548527074929715,0.146039603960396,0.1629629629629629,0.4103941993839295,2.0486026453859663,0.1431504322046292,0.7057372762608588,0.0759100469373582,,,,later
delivered_logistic,responded_strict,0.05,3,6060,460,305,103,0.3376367048469553,0.3168316831683168,0.3529411764705882,0.2245673282214958,4.460885479703745,0.243257230729524,0.7764263227432253,0.0759100469373582,0.0804527850626858,0.0638818445646103,0.2317625933902473,later
delivered_logistic,responded_strict,0.1,3,6060,460,608,164,0.2697572712936318,0.2512315270935961,0.2821782178217821,0.3565347027252927,3.5536711742657725,0.243257230729524,0.7764263227432253,0.0759100469373582,0.0804527850626858,0.0638818445646103,0.2317625933902473,later
delivered_logistic,responded_strict,0.2,3,6060,460,1214,241,0.1985250376889541,0.1876543209876543,0.2079207920792079,0.5241826877843119,2.616608067715416,0.243257230729524,0.7764263227432253,0.0759100469373582,0.0804527850626858,0.0638818445646103,0.2317625933902473,later
extended_boosting,responded_strict,0.05,3,6060,460,305,101,0.3311654694881252,0.3137254901960784,0.3431372549019608,0.2204009932693954,4.378995502069821,0.2495610841230745,0.7749613427594683,0.0759100469373582,0.0791015239241653,0.0639615323498653,0.2326843612511105,later
extended_boosting,responded_strict,0.1,3,6060,460,608,159,0.2615389617779511,0.2266009852216748,0.2807881773399014,0.344866422487631,3.4373860694994174,0.2495610841230745,0.7749613427594683,0.0759100469373582,0.0791015239241653,0.0639615323498653,0.2326843612511105,later
