model,capacity,precision
decile,0.89,0.08341259776745465
decile,0.9,0.08304506739213324
decile,0.91,0.08211212376306914
decile,0.92,0.0814082949832942
decile,0.93,0.08054176068750453
decile,0.94,0.07969347942644195
decile,0.95,0.07902233449249167
decile,0.96,0.07835291553437591
decile,0.97,0.07772369950846454
decile,0.98,0.07710684977391578
decile,0.99,0.07666917310355481
decile,1.0,0.07591004693735827
delivered_logistic,0.01,0.4444444444444444
delivered_logistic,0.02,0.3983739837398374
delivered_logistic,0.03,0.3989071038251366
delivered_logistic,0.04,0.3621399176954732
delivered_logistic,0.05,0.3376367048469553
delivered_logistic,0.06,0.3114754098360656
delivered_logistic,0.07,0.28638497652582157
delivered_logistic,0.08,0.2757201646090535
delivered_logistic,0.09,0.2673992673992674
delivered_logistic,0.1,0.2697572712936318
delivered_logistic,0.11,0.2604936775340363
delivered_logistic,0.12,0.2551440329218107
delivered_logistic,0.13,0.24841571609632448
delivered_logistic,0.14,0.24002969525041887
delivered_logistic,0.15,0.23272031150483471
delivered_logistic,0.16,0.22452190752844348
delivered_logistic,0.17,0.22018441928266322
delivered_logistic,0.18,0.21245421245421245
delivered_logistic,0.19,0.20469426406926408
delivered_logistic,0.2,0.1985250376889541
delivered_logistic,0.21,0.1954550499445061
delivered_logistic,0.22,0.19190876269527957
delivered_logistic,0.23,0.1892586766517982
delivered_logistic,0.24,0.1887460580091355
delivered_logistic,0.25,0.18259825982598257
delivered_logistic,0.26,0.17755326211599975
delivered_logistic,0.27,0.17593283373099888
delivered_logistic,0.28,0.17374455888793425
delivered_logistic,0.29,0.17169925790028007
delivered_logistic,0.3,0.1714332059235578
delivered_logistic,0.31,0.16968321180529014
delivered_logistic,0.32,0.16847967729281235
delivered_logistic,0.33,0.16442777065010858
delivered_logistic,0.34,0.16246864194182656
delivered_logistic,0.35,0.15928708994200905
delivered_logistic,0.36,0.15529220893732584
delivered_logistic,0.37,0.15375063993562174
delivered_logistic,0.38,0.15148320537828017
delivered_logistic,0.39,0.14841673605038358
delivered_logistic,0.4,0.14763179002843374
delivered_logistic,0.41,0.14642691023786533
delivered_logistic,0.42,0.14409676549242714
delivered_logistic,0.43,0.14187280399738686
delivered_logistic,0.44,0.13980581705300807
delivered_logistic,0.45,0.13746349098772007
delivered_logistic,0.46,0.13589381081550744
delivered_logistic,0.47,0.13303182152428816
delivered_logistic,0.48,0.132599425301405
delivered_logistic,0.49,0.13025860992954114
delivered_logistic,0.5,0.1286692108641743
delivered_logistic,0.51,0.12872081865540233
delivered_logistic,0.52,0.12722229508162497
delivered_logistic,0.53,0.12507671920769983
delivered_logistic,0.54,0.12339505550514725
delivered_logistic,0.55,0.12144050767981812
delivered_logistic,0.56,0.12017713227718459
delivered_logistic,0.57,0.11895816748438925
delivered_logistic,0.58,0.11746052564466886
delivered_logistic,0.59,0.11629786498299506
delivered_logistic,0.6,0.11434941682429672
delivered_logistic,0.61,0.11249408328191485
delivered_logistic,0.62,0.11119907901430053
delivered_logistic,0.63,0.10997533432061925
delivered_logistic,0.64,0.10927959965943773
delivered_logistic,0.65,0.10834951847226686
delivered_logistic,0.66,0.10722478538710872
delivered_logistic,0.67,0.10585966214691733
delivered_logistic,0.68,0.10456171039844508
delivered_logistic,0.69,0.10303842177513496
delivered_logistic,0.7,0.10205246988724148
delivered_logistic,0.71,0.1008381792108571
delivered_logistic,0.72,0.09965645160070487
delivered_logistic,0.73,0.09896326719158498
delivered_logistic,0.74,0.09830879906370314
delivered_logistic,0.75,0.09701123846035736
delivered_logistic,0.76,0.09574748424401475
delivered_logistic,0.77,0.09533108666056643
delivered_logistic,0.78,0.09410266658082073
delivered_logistic,0.79,0.09313276748971744
delivered_logistic,0.8,0.09218686416987264
delivered_logistic,0.81,0.09144830870657066
delivered_logistic,0.82,0.09052896329681752
delivered_logistic,0.83,0.089629484419321
delivered_logistic,0.84,0.08896629237605284
delivered_logistic,0.85,0.08793015625372495
delivered_logistic,0.86,0.08728425525286154
delivered_logistic,0.87,0.0864653631081052
delivered_logistic,0.88,0.08549270926246118
delivered_logistic,0.89,0.08471064675825796
delivered_logistic,0.9,0.08396212923867659
delivered_logistic,0.91,0.08320056061341284
delivered_logistic,0.92,0.08230541472733151
delivered_logistic,0.93,0.08160653609960826
delivered_logistic,0.94,0.08074703680119112
delivered_logistic,0.95,0.07989111474830306
delivered_logistic,0.96,0.07904046751188427
delivered_logistic,0.97,0.07823390421028632
delivered_logistic,0.98,0.07744363569461397
delivered_logistic,0.99,0.07666917310355481
delivered_logistic,1.0,0.07591004693735827
three_field_rate,0.01,0.4761904761904762
three_field_rate,0.02,0.4146341463414634
three_field_rate,0.03,0.3715846994535519
three_field_rate,0.04,0.3168724279835391
three_field_rate,0.05,0.301559567721478
three_field_rate,0.06,0.2923497267759563
three_field_rate,0.07,0.2887323943661972
three_field_rate,0.08,0.28189300411522633
three_field_rate,0.09,0.2783882783882784
three_field_rate,0.1,0.26479051846071305
three_field_rate,0.11,0.26046674477167747
three_field_rate,0.12,0.252400548696845
three_field_rate,0.13,0.24461343472750316
three_field_rate,0.14,0.2376449509779525
three_field_rate,0.15,0.22612327022175904
three_field_rate,0.16,0.2183331422237511
three_field_rate,0.17,0.2162943250389857
three_field_rate,0.18,0.21245421245421245
three_field_rate,0.19,0.20729166666666665
three_field_rate,0.2,0.20264230126716376
three_field_rate,0.21,0.1962375138734739
three_field_rate,0.22,0.19115801194452878
three_field_rate,0.23,0.187108132386804
three_field_rate,0.24,0.18188169077821614
three_field_rate,0.25,0.17798432017114754
three_field_rate,0.26,0.17501720079666847
three_field_rate,0.27,0.17226646951417593
three_field_rate,0.28,0.16902688325427553
three_field_rate,0.29,0.16884831365240224
three_field_rate,0.3,0.16703457825189438
three_field_rate,0.31,0.16436264443663132
three_field_rate,0.32,0.16074850455521159
three_field_rate,0.33,0.159426515276285
three_field_rate,0.34,0.15616030465342282
three_field_rate,0.35,0.15504313311246617
three_field_rate,0.36,0.1525424369303324
three_field_rate,0.37,0.15018259632339923
three_field_rate,0.38,0.14800815377028362
three_field_rate,0.39,0.1463011366045944
three_field_rate,0.4,0.1463936537987296
three_field_rate,0.41,0.14441402309682003
three_field_rate,0.42,0.14134750595573475
three_field_rate,0.43,0.13842011405971363
three_field_rate,0.44,0.13568174916489525
three_field_rate,0.45,0.1337964531797131
three_field_rate,0.46,0.13230879900503417
three_field_rate,0.47,0.13127557910335744
three_field_rate,0.48,0.1295062842380886
three_field_rate,0.49,0.12756364408085305
three_field_rate,0.5,0.12668966443453036
three_field_rate,0.51,0.12613464084807816
three_field_rate,0.52,0.12436846851316907
three_field_rate,0.53,0.12196552285302459
three_field_rate,0.54,0.12034143226803777
three_field_rate,0.55,0.1190429618860459
three_field_rate,0.56,0.11811822420864398
three_field_rate,0.57,0.11664510935904794
three_field_rate,0.58,0.11661092530657748
three_field_rate,0.59,0.11601939572405408
three_field_rate,0.6,0.11462603183651086
three_field_rate,0.61,0.11303652578844413
three_field_rate,0.62,0.11120035391144818
three_field_rate,0.63,0.10945328321972135
three_field_rate,0.64,0.1087649980629196
three_field_rate,0.65,0.10784312723915301
three_field_rate,0.66,0.1064755345443653
three_field_rate,0.67,0.10512110890339672
three_field_rate,0.68,0.10359095326442265
three_field_rate,0.69,0.10279947314908956
three_field_rate,0.7,0.10134575610632275
three_field_rate,0.71,0.10037392733476243
three_field_rate,0.72,0.09965786965959024
three_field_rate,0.73,0.0985114431066549
three_field_rate,0.74,0.0978621219788417
three_field_rate,0.75,0.09679078067421415
three_field_rate,0.76,0.09574734305085346
three_field_rate,0.77,0.09447432568819852
three_field_rate,0.78,0.09346828225224658
