period,model,capacity,selected,precision
2025-10,core_logistic,0.32,647,0.17928902627511592
2025-10,core_logistic,0.33,667,0.17541229385307347
2025-10,core_logistic,0.34,688,0.17151162790697674
2025-10,core_logistic,0.35,708,0.1694915254237288
2025-10,core_logistic,0.36,728,0.1662087912087912
2025-10,core_logistic,0.37,748,0.16310160427807488
2025-10,core_logistic,0.38,768,0.16276041666666666
2025-10,core_logistic,0.39,789,0.1596958174904943
2025-10,core_logistic,0.4,809,0.15822002472187885
2025-10,core_logistic,0.41,829,0.15560916767189384
2025-10,core_logistic,0.42,849,0.15547703180212014
2025-10,core_logistic,0.43,870,0.15172413793103448
2025-10,core_logistic,0.44,890,0.14831460674157304
2025-10,core_logistic,0.45,910,0.14945054945054945
2025-10,core_logistic,0.46,930,0.14731182795698924
2025-10,core_logistic,0.47,950,0.14526315789473684
2025-10,core_logistic,0.48,971,0.1431513903192585
2025-10,core_logistic,0.49,991,0.14228052472250252
2025-10,core_logistic,0.5,1011,0.1404549950544016
2025-10,core_logistic,0.51,1031,0.13870029097963144
2025-10,core_logistic,0.52,1051,0.13606089438629876
2025-10,core_logistic,0.53,1072,0.1333955223880597
2025-10,core_logistic,0.54,1092,0.13186813186813187
2025-10,core_logistic,0.55,1112,0.1303956834532374
2025-10,core_logistic,0.56,1132,0.12809187279151943
2025-10,core_logistic,0.57,1152,0.12586805555555555
2025-10,core_logistic,0.58,1173,0.12361466325660699
2025-10,core_logistic,0.59,1193,0.12154233025984912
2025-10,core_logistic,0.6,1213,0.11953833470733718
2025-10,core_logistic,0.61,1233,0.1192214111922141
2025-10,core_logistic,0.62,1254,0.11802232854864433
2025-10,core_logistic,0.63,1274,0.11616954474097331
2025-10,core_logistic,0.64,1294,0.1143740340030912
2025-10,core_logistic,0.65,1314,0.11339421613394216
2025-10,core_logistic,0.66,1334,0.11169415292353824
2025-10,core_logistic,0.67,1355,0.11143911439114391
2025-10,core_logistic,0.68,1375,0.10981818181818181
