model,period,target,capacity,rows,positives,selected,true_positives_selected,prevalence,precision,recall,lift,average_precision,roc_auc,mean_prediction,brier,log_loss,stage
decile,2025-12,responded_strict,0.05,2022,143,102,20,0.0707220573689416,0.196078431372549,0.1398601398601398,2.7725215960510075,0.1420014688079131,0.7149037763726429,,,,later
decile,2025-12,responded_strict,0.1,2022,143,203,37,0.0707220573689416,0.1822660098522167,0.2587412587412587,2.577215887560715,0.1420014688079131,0.7149037763726429,,,,later
decile,2025-12,responded_strict,0.2,2022,143,405,66,0.0707220573689416,0.1629629629629629,0.4615384615384615,2.3042735042735045,0.1420014688079131,0.7149037763726429,,,,later
delivered_logistic,2025-10,responded_strict,0.05,2021,159,102,36,0.0786739238000989,0.3529411764705882,0.2264150943396226,4.486126526082131,0.2654790891335412,0.789960075390633,0.0800802142496414,0.0653132095395875,0.2337273549883397,later
delivered_logistic,2025-10,responded_strict,0.1,2021,159,203,56,0.0786739238000989,0.2758620689655172,0.3522012578616352,3.506397744523964,0.2654790891335412,0.789960075390633,0.0800802142496414,0.0653132095395875,0.2337273549883397,later
delivered_logistic,2025-10,responded_strict,0.2,2021,159,405,81,0.0786739238000989,0.2,0.5094339622641509,2.5421383647798743,0.2654790891335412,0.789960075390633,0.0800802142496414,0.0653132095395875,0.2337273549883397,later
delivered_logistic,2025-11,responded_strict,0.05,2017,158,101,32,0.0783341596430342,0.3168316831683168,0.2025316455696202,4.044617119939842,0.2293694335372116,0.7635417163167892,0.0813071837357228,0.0662347209702272,0.2403077198738437,later
delivered_logistic,2025-11,responded_strict,0.1,2017,158,202,57,0.0783341596430342,0.2821782178217821,0.360759493670886,3.6022371224464216,0.2293694335372116,0.7635417163167892,0.0813071837357228,0.0662347209702272,0.2403077198738437,later
delivered_logistic,2025-11,responded_strict,0.2,2017,158,404,84,0.0783341596430342,0.2079207920792079,0.5316455696202531,2.6542799849605214,0.2293694335372116,0.7635417163167892,0.0813071837357228,0.0662347209702272,0.2403077198738437,later
delivered_logistic,2025-12,responded_strict,0.05,2022,143,102,35,0.0707220573689416,0.3431372549019608,0.2447552447552447,4.851912793089263,0.2349231695178194,0.7757771765222536,0.0799709572026931,0.0600976031840161,0.2212527053085586,later
delivered_logistic,2025-12,responded_strict,0.1,2022,143,203,51,0.0707220573689416,0.2512315270935961,0.3566433566433566,3.552378655826932,0.2349231695178194,0.7757771765222536,0.0799709572026931,0.0600976031840161,0.2212527053085586,later
delivered_logistic,2025-12,responded_strict,0.2,2022,143,405,76,0.0707220573689416,0.1876543209876543,0.5314685314685315,2.6534058534058533,0.2349231695178194,0.7757771765222536,0.0799709572026931,0.0600976031840161,0.2212527053085586,later
extended_boosting,2025-10,responded_strict,0.05,2021,159,102,32,0.0786739238000989,0.3137254901960784,0.2012578616352201,3.987668023184116,0.267148805180425,0.7893807970059921,0.0785197093862898,0.0655761578805994,0.2350451097820967,later
extended_boosting,2025-10,responded_strict,0.1,2021,159,203,57,0.0786739238000989,0.2807881773399014,0.3584905660377358,3.569011989961892,0.267148805180425,0.7893807970059921,0.0785197093862898,0.0655761578805994,0.2350451097820967,later
extended_boosting,2025-10,responded_strict,0.2,2021,159,405,84,0.0786739238000989,0.2074074074074074,0.5283018867924528,2.636291637549499,0.267148805180425,0.7893807970059921,0.0785197093862898,0.0655761578805994,0.2350451097820967,later
extended_boosting,2025-11,responded_strict,0.05,2017,158,101,34,0.0783341596430342,0.3366336633663366,0.2151898734177215,4.297405689936083,0.2393166218035543,0.7581573732985613,0.079872009359216,0.0662921545197821,0.2416788987961097,later
extended_boosting,2025-11,responded_strict,0.1,2017,158,202,56,0.0783341596430342,0.2772277227722772,0.3544303797468354,3.539039979947362,0.2393166218035543,0.7581573732985613,0.079872009359216,0.0662921545197821,0.2416788987961097,later
extended_boosting,2025-11,responded_strict,0.2,2017,158,404,83,0.0783341596430342,0.2054455445544554,0.5253164556962026,2.6226814137109917,0.2393166218035543,0.7581573732985613,0.079872009359216,0.0662921545197821,0.2416788987961097,later
extended_boosting,2025-12,responded_strict,0.05,2022,143,102,35,0.0707220573689416,0.3431372549019608,0.2447552447552447,4.851912793089263,0.2422178253852444,0.7773458579738516,0.0789128530269901,0.0600162846492144,0.2213290751751251,later
extended_boosting,2025-12,responded_strict,0.1,2022,143,203,46,0.0707220573689416,0.2266009852216748,0.3216783216783216,3.204106238588997,0.2422178253852444,0.7773458579738516,0.0789128530269901,0.0600162846492144,0.2213290751751251,later
extended_boosting,2025-12,responded_strict,0.2,2022,143,405,78,0.0707220573689416,0.1925925925925926,0.5454545454545454,2.723232323232323,0.2422178253852444,0.7773458579738516,0.0789128530269901,0.0600162846492144,0.2213290751751251,later
hcp_history_frozen,2025-10,responded_strict,0.05,2021,159,102,32,0.0786739238000989,0.3137254901960784,0.2012578616352201,3.987668023184116,0.1962352573258151,0.7143363800336421,0.0690180265791916,0.068676181101076,0.6585262641687509,later
hcp_history_frozen,2025-10,responded_strict,0.1,2021,159,203,47,0.0786739238000989,0.2315270935960591,0.2955974842767295,2.942869535582613,0.1962352573258151,0.7143363800336421,0.0690180265791916,0.068676181101076,0.6585262641687509,later
hcp_history_frozen,2025-10,responded_strict,0.2,2021,159,405,72,0.0786739238000989,0.1777777777777777,0.4528301886792453,2.259678546470999,0.1962352573258151,0.7143363800336421,0.0690180265791916,0.068676181101076,0.6585262641687509,later
hcp_history_frozen,2025-11,responded_strict,0.05,2017,158,101,27,0.0783341596430342,0.2673267326732673,0.170886075949367,3.412645694949242,0.1695284641964174,0.6852687234868344,0.0692009900708102,0.0700088642068614,0.7466021733156452,later
hcp_history_frozen,2025-11,responded_strict,0.1,2017,158,202,40,0.0783341596430342,0.198019801980198,0.2531645569620253,2.5278856999624013,0.1695284641964174,0.6852687234868344,0.0692009900708102,0.0700088642068614,0.7466021733156452,later
hcp_history_frozen,2025-11,responded_strict,0.2,2017,158,404,70,0.0783341596430342,0.1732673267326732,0.4430379746835443,2.211899987467101,0.1695284641964174,0.6852687234868344,0.0692009900708102,0.0700088642068614,0.7466021733156452,later
hcp_history_frozen,2025-12,responded_strict,0.05,2022,143,102,25,0.0707220573689416,0.2450980392156862,0.1748251748251748,3.465651995063759,0.1862363122163303,0.7060164423123444,0.0688497136928938,0.0628148990890246,0.6578667231093749,later
hcp_history_frozen,2025-12,responded_strict,0.1,2022,143,203,44,0.0707220573689416,0.2167487684729064,0.3076923076923077,3.0647972716938234,0.1862363122163303,0.7060164423123444,0.0688497136928938,0.0628148990890246,0.6578667231093749,later
hcp_history_frozen,2025-12,responded_strict,0.2,2022,143,405,69,0.0707220573689416,0.1703703703703703,0.4825174825174825,2.409013209013209,0.1862363122163303,0.7060164423123444,0.0688497136928938,0.0628148990890246,0.6578667231093749,later
three_field_rate,2025-10,responded_strict,0.05,2021,159,102,33,0.0786739238000989,0.3235294117647059,0.2075471698113207,4.11228264890862,0.2428537806836146,0.7816914253288207,0.0814280022094326,0.0661068878486797,0.2369908671657245,later
three_field_rate,2025-10,responded_strict,0.1,2021,159,203,55,0.0786739238000989,0.270935960591133,0.3459119496855345,3.4437834990860363,0.2428537806836146,0.7816914253288207,0.0814280022094326,0.0661068878486797,0.2369908671657245,later
three_field_rate,2025-10,responded_strict,0.2,2021,159,405,83,0.0786739238000989,0.2049382716049382,0.5220125786163522,2.6049072132929574,0.2428537806836146,0.7816914253288207,0.0814280022094326,0.0661068878486797,0.2369908671657245,later
three_field_rate,2025-11,responded_strict,0.05,2017,158,101,28,0.0783341596430342,0.2772277227722772,0.1772151898734177,3.539039979947362,0.2204710319381794,0.750823908321474,0.0812243892710203,0.0668217666266803,0.2436455563372012,later
three_field_rate,2025-11,responded_strict,0.1,2017,158,202,52,0.0783341596430342,0.2574257425742574,0.3291139240506329,3.286251409951122,0.2204710319381794,0.750823908321474,0.0812243892710203,0.0668217666266803,0.2436455563372012,later
three_field_rate,2025-11,responded_strict,0.2,2017,158,404,85,0.0783341596430342,0.2103960396039604,0.5379746835443038,2.685878556210051,0.2204710319381794,0.750823908321474,0.0812243892710203,0.0668217666266803,0.2436455563372012,later
three_field_rate,2025-12,responded_strict,0.05,2022,143,102,31,0.0707220573689416,0.3039215686274509,0.2167832167832167,4.297408473879061,0.2394982123587906,0.7689162886076139,0.0800075964501319,0.0600092565442021,0.2226361059488737,later
three_field_rate,2025-12,responded_strict,0.1,2022,143,203,54,0.0707220573689416,0.2660098522167488,0.3776223776223776,3.761342106169692,0.2394982123587906,0.7689162886076139,0.0800075964501319,0.0600092565442021,0.2226361059488737,later
three_field_rate,2025-12,responded_strict,0.2,2022,143,405,78,0.0707220573689416,0.1925925925925926,0.5454545454545454,2.723232323232323,0.2394982123587906,0.7689162886076139,0.0800075964501319,0.0600092565442021,0.2226361059488737,later
core_logistic,2025-07,responded_strict,0.05,2025,150,102,29,0.074074074074074,0.284313725490196,0.1933333333333333,3.838235294117647,0.2352577045435819,0.7949226666666668,0.0814993444348461,0.0623885608057404,0.2246826001010723,six_month
core_logistic,2025-07,responded_strict,0.1,2025,150,203,53,0.074074074074074,0.2610837438423645,0.3533333333333333,3.5246305418719217,0.2352577045435819,0.7949226666666668,0.0814993444348461,0.0623885608057404,0.2246826001010723,six_month
core_logistic,2025-07,responded_strict,0.2,2025,150,405,81,0.074074074074074,0.2,0.54,2.7,0.2352577045435819,0.7949226666666668,0.0814993444348461,0.0623885608057404,0.2246826001010723,six_month
core_logistic,2025-08,responded_strict,0.05,2012,146,101,26,0.0725646123260437,0.2574257425742574,0.1780821917808219,3.5475383154753835,0.1876406970833104,0.7522555756214302,0.08020803923255,0.0631406991602268,0.2327403240499011,six_month
core_logistic,2025-08,responded_strict,0.1,2012,146,202,47,0.0725646123260437,0.2326732673267326,0.3219178082191781,3.206428862064289,0.1876406970833104,0.7522555756214302,0.08020803923255,0.0631406991602268,0.2327403240499011,six_month
core_logistic,2025-08,responded_strict,0.2,2012,146,403,75,0.0725646123260437,0.1861042183622828,0.5136986301369864,2.564669091403515,0.1876406970833104,0.7522555756214302,0.08020803923255,0.0631406991602268,0.2327403240499011,six_month
core_logistic,2025-09,responded_strict,0.05,2038,155,102,32,0.0760549558390579,0.3137254901960784,0.2064516129032258,4.124984187223276,0.2440957893490319,0.7801620612269372,0.0819753319103397,0.0640281395729093,0.2320153295565609,six_month
core_logistic,2025-09,responded_strict,0.1,2038,155,204,53,0.0760549558390579,0.2598039215686274,0.3419354838709677,3.416002530044276,0.2440957893490319,0.7801620612269372,0.0819753319103397,0.0640281395729093,0.2320153295565609,six_month
core_logistic,2025-09,responded_strict,0.2,2038,155,408,81,0.0760549558390579,0.1985294117647058,0.5225806451612903,2.6103415559772296,0.2440957893490319,0.7801620612269372,0.0819753319103397,0.0640281395729093,0.2320153295565609,six_month
