model,target,capacity,months,rows,positives,selected,true_positives_selected,precision,precision_min,precision_max,recall,lift,average_precision,roc_auc,prevalence,mean_prediction,brier,log_loss,stage
hcp_history_rolling_diagnostic,responded_strict,0.1,3,6075,451,609,127,0.2085337264529119,0.19801980198019803,0.22660098522167488,0.28171846614621693,2.8101856409070933,0.15412784283183958,0.6966694384907948,0.07423121407972523,0.06924903146776563,0.0673845656746787,0.7177604195013818,development
hcp_history_rolling_diagnostic,responded_strict,0.2,3,6075,451,1216,206,0.16939918356216058,0.15632754342431762,0.18765432098765433,0.4568105268326214,2.282275593537323,0.15412784283183958,0.6966694384907948,0.07423121407972523,0.06924903146776563,0.0673845656746787,0.7177604195013818,development
three_field_rate,responded_strict,0.05,3,6075,451,305,84,0.2752863521646282,0.2376237623762376,0.29411764705882354,0.18597731624686994,3.7041372211874823,0.19914836263746202,0.7612729762615746,0.07423121407972523,0.0821364335147311,0.06404139484806565,0.23879319566001542,development
three_field_rate,responded_strict,0.1,3,6075,451,609,141,0.23148214560662095,0.2079207920792079,0.2512315270935961,0.31244955074385033,3.116894388278066,0.19914836263746202,0.7612729762615746,0.07423121407972523,0.0821364335147311,0.06404139484806565,0.23879319566001542,development
three_field_rate,responded_strict,0.2,3,6075,451,1216,234,0.19238226614359863,0.17369727047146402,0.20246913580246914,0.518383659841901,2.589864160083286,0.19914836263746202,0.7612729762615746,0.07423121407972523,0.0821364335147311,0.06404139484806565,0.23879319566001542,development
without_email_digital,responded_strict,0.05,3,6075,451,305,93,0.304795185400893,0.26732673267326734,0.3431372549019608,0.2058015417096283,4.0995415760286225,0.22299003749406474,0.7751109337014231,0.07423121407972523,0.08116840961284057,0.06317143279448352,0.2298302418988675,development
without_email_digital,responded_strict,0.1,3,6075,451,609,152,0.24954486175943005,0.22772277227722773,0.2660098522167488,0.3368507880394756,3.36029654280903,0.22299003749406474,0.7751109337014231,0.07423121407972523,0.08116840961284057,0.06317143279448352,0.2298302418988675,development
without_email_digital,responded_strict,0.2,3,6075,451,1216,241,0.19815795417208026,0.18610421836228289,0.20493827160493827,0.5341719448126873,2.668710063990925,0.22299003749406474,0.7751109337014231,0.07423121407972523,0.08116840961284057,0.06317143279448352,0.2298302418988675,development
core_logistic,responded_strict,0.05,3,6060,460,305,95,0.31155762635087036,0.29411764705882354,0.33663366336633666,0.2066495455556836,4.106413827157403,0.23964092770017578,0.777306959617,0.07591004693735827,0.08083593093740164,0.06402964351762482,0.23203333570645823,later
core_logistic,responded_strict,0.1,3,6060,460,608,166,0.2730413435432213,0.2660098522167488,0.28217821782178215,0.36166583993190154,3.6048009885706036,0.23964092770017578,0.777306959617,0.07591004693735827,0.08083593093740164,0.06402964351762482,0.23203333570645823,later
core_logistic,responded_strict,0.2,3,6060,460,1214,244,0.20099621073218432,0.18518518518518517,0.2103960396039604,0.5302506982707603,2.646887604084056,0.23964092770017578,0.777306959617,0.07591004693735827,0.08083593093740164,0.06402964351762482,0.23203333570645823,later
decile,responded_strict,0.05,3,6060,460,305,55,0.18006212385944476,0.09900990099009901,0.24509803921568626,0.12012799450105398,2.383943363048266,0.14315043220462928,0.7057372762608588,0.07591004693735827,,,,later
decile,responded_strict,0.1,3,6060,460,608,109,0.1792258043538344,0.1485148514851485,0.20689655172413793,0.23758853995300142,2.36764282364183,0.14315043220462928,0.7057372762608588,0.07591004693735827,,,,later
decile,responded_strict,0.2,3,6060,460,1214,188,0.15485270749297153,0.14603960396039603,0.16296296296296298,0.4103941993839295,2.0486026453859663,0.14315043220462928,0.7057372762608588,0.07591004693735827,,,,later
delivered_logistic,responded_strict,0.05,3,6060,460,305,103,0.3376367048469553,0.31683168316831684,0.35294117647058826,0.22456732822149586,4.460885479703745,0.24325723072952407,0.7764263227432253,0.07591004693735827,0.08045278506268581,0.06388184456461031,0.23176259339024738,later
delivered_logistic,responded_strict,0.1,3,6060,460,608,164,0.2697572712936318,0.2512315270935961,0.28217821782178215,0.3565347027252927,3.5536711742657725,0.24325723072952407,0.7764263227432253,0.07591004693735827,0.08045278506268581,0.06388184456461031,0.23176259339024738,later
