label_value,direction,rows,target,period,share_within_label
0,up,702,responded_loose,2024-10,0.49194113524877364
1,down,215,responded_loose,2024-10,0.473568281938326
1,equal,1,responded_loose,2024-10,0.0022026431718061676
1,up,238,responded_loose,2024-10,0.5242290748898678
0,down,697,responded_loose,2024-11,0.5021613832853026
0,equal,5,responded_loose,2024-11,0.0036023054755043226
0,up,686,responded_loose,2024-11,0.4942363112391931
1,down,245,responded_loose,2024-11,0.5010224948875256
1,up,244,responded_loose,2024-11,0.49897750511247446
0,down,688,responded_loose,2024-12,0.5007278020378457
0,equal,1,responded_loose,2024-12,0.000727802037845706
0,up,685,responded_loose,2024-12,0.4985443959243086
1,down,244,responded_loose,2024-12,0.48897795591182364
1,up,255,responded_loose,2024-12,0.5110220440881763
0,down,708,responded_loose,2025-01,0.5104542177361211
0,equal,1,responded_loose,2025-01,0.0007209805335255948
0,up,678,responded_loose,2025-01,0.48882480173035325
1,down,245,responded_loose,2025-01,0.4939516129032258
1,equal,1,responded_loose,2025-01,0.0020161290322580645
1,up,250,responded_loose,2025-01,0.5040322580645161
0,down,671,responded_loose,2025-02,0.5083333333333333
0,equal,4,responded_loose,2025-02,0.0030303030303030303
0,up,645,responded_loose,2025-02,0.48863636363636365
1,down,278,responded_loose,2025-02,0.4826388888888889
1,equal,1,responded_loose,2025-02,0.001736111111111111
1,up,297,responded_loose,2025-02,0.515625
0,down,645,responded_loose,2025-03,0.4756637168141593
0,equal,4,responded_loose,2025-03,0.0029498525073746312
0,up,707,responded_loose,2025-03,0.5213864306784661
1,down,264,responded_loose,2025-03,0.4852941176470588
1,up,280,responded_loose,2025-03,0.5147058823529411
0,down,657,responded_loose,2025-04,0.4799123447772096
0,equal,2,responded_loose,2025-04,0.0014609203798392988
0,up,710,responded_loose,2025-04,0.5186267348429511
1,down,272,responded_loose,2025-04,0.5230769230769231
1,equal,1,responded_loose,2025-04,0.0019230769230769232
1,up,247,responded_loose,2025-04,0.475
0,down,675,responded_loose,2025-05,0.48631123919308356
0,equal,2,responded_loose,2025-05,0.001440922190201729
0,up,711,responded_loose,2025-05,0.5122478386167147
1,down,242,responded_loose,2025-05,0.49794238683127573
1,up,244,responded_loose,2025-05,0.5020576131687243
0,down,683,responded_loose,2025-06,0.49672727272727274
0,equal,2,responded_loose,2025-06,0.0014545454545454545
0,up,690,responded_loose,2025-06,0.5018181818181818
1,down,226,responded_loose,2025-06,0.4669421487603306
1,up,258,responded_loose,2025-06,0.5330578512396694
0,down,675,responded_loose,2025-07,0.5098187311178247
0,equal,1,responded_loose,2025-07,0.0007552870090634441
0,up,648,responded_loose,2025-07,0.48942598187311176
1,down,279,responded_loose,2025-07,0.5008976660682226
1,up,278,responded_loose,2025-07,0.4991023339317774
0,down,692,responded_loose,2025-08,0.5032727272727273
0,equal,1,responded_loose,2025-08,0.0007272727272727272
0,up,682,responded_loose,2025-08,0.496
1,down,270,responded_loose,2025-08,0.5389221556886228
1,up,231,responded_loose,2025-08,0.46107784431137727
0,down,666,responded_loose,2025-09,0.4808664259927798
0,equal,3,responded_loose,2025-09,0.0021660649819494585
0,up,716,responded_loose,2025-09,0.5169675090252708
1,down,236,responded_loose,2025-09,0.4767676767676768
1,up,259,responded_loose,2025-09,0.5232323232323233
0,down,698,responded_loose,2025-10,0.5043352601156069
0,equal,1,responded_loose,2025-10,0.000722543352601156
0,up,685,responded_loose,2025-10,0.4949421965317919
1,down,238,responded_loose,2025-10,0.4927536231884058
1,equal,1,responded_loose,2025-10,0.002070393374741201
1,up,244,responded_loose,2025-10,0.505175983436853
